pred_file,gt_file,psnr,ssim
frankfurt_frankfurt_000001_011162_leftImg8bit.png,frankfurt_frankfurt_000001_011162_leftImg8bit.png,13.5032,0.826869
frankfurt_frankfurt_000001_011715_leftImg8bit.png,frankfurt_frankfurt_000001_011715_leftImg8bit.png,13.4623,0.828494
frankfurt_frankfurt_000001_011835_leftImg8bit.png,frankfurt_frankfurt_000001_011835_leftImg8bit.png,13.7337,0.837032
frankfurt_frankfurt_000001_012038_leftImg8bit.png,frankfurt_frankfurt_000001_012038_leftImg8bit.png,14.3032,0.803135
frankfurt_frankfurt_000001_012519_leftImg8bit.png,frankfurt_frankfurt_000001_012519_leftImg8bit.png,18.4230,0.727834
frankfurt_frankfurt_000001_012699_leftImg8bit.png,frankfurt_frankfurt_000001_012699_leftImg8bit.png,17.4830,0.778527
frankfurt_frankfurt_000001_012738_leftImg8bit.png,frankfurt_frankfurt_000001_012738_leftImg8bit.png,18.1578,0.845027
frankfurt_frankfurt_000001_012870_leftImg8bit.png,frankfurt_frankfurt_000001_012870_leftImg8bit.png,15.1253,0.823092
frankfurt_frankfurt_000001_013016_leftImg8bit.png,frankfurt_frankfurt_000001_013016_leftImg8bit.png,15.4178,0.861536
frankfurt_frankfurt_000001_013496_leftImg8bit.png,frankfurt_frankfurt_000001_013496_leftImg8bit.png,10.6300,0.771030
frankfurt_frankfurt_000001_013710_leftImg8bit.png,frankfurt_frankfurt_000001_013710_leftImg8bit.png,11.4843,0.724129
frankfurt_frankfurt_000001_014221_leftImg8bit.png,frankfurt_frankfurt_000001_014221_leftImg8bit.png,11.9149,0.757668
frankfurt_frankfurt_000001_014406_leftImg8bit.png,frankfurt_frankfurt_000001_014406_leftImg8bit.png,11.9891,0.802046
frankfurt_frankfurt_000001_014565_leftImg8bit.png,frankfurt_frankfurt_000001_014565_leftImg8bit.png,16.9453,0.769290
frankfurt_frankfurt_000001_014741_leftImg8bit.png,frankfurt_frankfurt_000001_014741_leftImg8bit.png,12.8476,0.767574
